运输架次编号,通信阶段,开始时刻（s）,结束时刻（s）,保障方式,中继架次编号
T011,阶段2_O01->S009 巡航,2962.0,3483.0,中继,RT02
T011,阶段3_S009->O01 巡航,3484.0,3813.0,直连,
T012,阶段1_地面准备,2953.7,3792.7,直连,
T012,阶段2_O01->S008 巡航,3793.7,4732.7,中继,RT01
T012,阶段3_S008->O01 巡航,4733.7,5146.6,直连,
T013,阶段1_地面准备,3813.0,4996.8,直连,
T014,阶段1_地面准备,4396.3,5254.3,直连,
T014,阶段2_O01->S005 巡航,5255.3,5515.3,中继,RT04
T014,阶段3_S005 物资交接,5516.3,5782.3,中继,RT03
T014,阶段4_S005->O01 爬升,5783.3,5873.3,中继,RT04
T014,阶段5_S005->O01 巡航,5874.3,6272.0,直连,
T015,阶段1_地面准备,1642.7,2425.7,直连,
T015,阶段2_O01->S007 巡航,2426.7,2814.7,中继,RT01
T015,阶段3_S007->O01 巡航,2815.7,3293.3,直连,
T016,阶段1_地面准备,1936.1,2690.1,直连,
T016,阶段2_O01->S012 巡航,2691.1,3542.1,中继,RT02
T016,阶段3_S012->O01 巡航,3543.1,3985.7,直连,
T017,阶段1_地面准备,2196.2,3508.9,直连,
T018,阶段1_地面准备,2678.8,3491.8,直连,
T018,阶段2_O01->S007 巡航,3492.8,3910.8,中继,RT01
T018,阶段3_S007->O01 巡航,3911.8,4389.4,直连,
T019,阶段1_地面准备,3293.3,4103.3,直连,
T019,阶段2_O01->S014 巡航,4104.3,4701.3,中继,RT01
T019,阶段3_S014->O01 巡航,4702.3,5213.4,直连,
T020,阶段1_地面准备,3508.8,4454.8,直连,
T020,阶段2_O01->S004 巡航,4455.8,4455.8,中继,RT01
T020,阶段3_O01->S004 巡航,4456.8,4456.8,直连,
T020,阶段4_O01->S004 巡航,4457.8,5088.8,中继,RT01
T020,阶段5_S004->O01 巡航,5089.8,5090.8,直连,
T020,阶段6_S004->O01 巡航,5091.8,5091.8,中继,RT01
T020,阶段7_S004->O01 巡航,5092.8,5695.7,直连,
T021,阶段1_地面准备,3984.5,5191.2,直连,
T022,阶段1_地面准备,4015.7,4764.7,直连,
T022,阶段2_O01->S002 巡航,4765.7,5239.7,中继,RT01
T022,阶段3_S002 物资交接,5240.7,5619.7,中继,RT04
T022,阶段4_S002->O01 巡航,5620.7,6022.2,直连,
T023,阶段1_地面准备,4389.4,5138.4,直连,
T023,阶段2_O01->S002 巡航,5139.4,5239.4,中继,RT01
T023,阶段3_O01->S002 巡航,5240.4,5993.4,中继,RT04
T023,阶段4_S002->O01 巡航,5994.4,6395.9,直连,
T024,阶段1_地面准备,5026.1,5873.1,直连,
T024,阶段2_O01->S004 巡航,5874.1,5914.1,中继,RT04
T024,阶段3_O01->S004 巡航,5915.1,6050.1,中继,RT03
T024,阶段4_O01->S004 下降,6051.1,6281.1,中继,RT04
T024,阶段5_S004->O01 爬升,6282.1,6408.1,中继,RT03
T024,阶段6_S004->O01 巡航,6409.1,6446.1,中继,RT04
T024,阶段7_S004->O01 巡航,6447.1,6954.9,直连,
T025,阶段1_地面准备,5116.6,5969.6,直连,
T025,阶段2_O01->S003 巡航,5970.6,6929.6,中继,RT03
T025,阶段3_S003->O01 巡航,6930.6,7405.8,直连,
T026,阶段1_地面准备,5243.4,6034.4,直连,
T026,阶段2_O01->S010 巡航,6035.4,6810.4,中继,RT04
T026,阶段3_S013->O01 巡航,6811.4,7247.4,直连,
T027,阶段1_地面准备,5318.5,6001.5,直连,
T027,阶段2_O01->S002 巡航,6002.5,6740.5,中继,RT04
T027,阶段3_S002->O01 巡航,6741.5,7077.2,直连,
T028,阶段1_地面准备,6301.9,7863.0,直连,
