运输架次编号,通信阶段,开始时刻（s）,结束时刻（s）,保障方式,中继架次编号
T009,S006->S007 下降,2944.7,2955.2,直连,/
T009,S006->S007 下降,2955.2,3038.5,中继,RT01
T009,S007 物资交接,3038.5,3218.5,中继,RT01
T009,S007->S011 爬升,3218.5,3247.8,中继,RT01
T009,S007->S011 巡航,3247.8,3313.0,中继,RT01
T009,S007->S011 巡航,3313.0,3483.6,直连,/
T009,S007->S011 下降,3483.6,3573.3,直连,/
T009,S011 物资交接,3573.3,3753.3,直连,/
T009,S011->O01 爬升,3753.3,3779.7,直连,/
T009,S011->O01 巡航,3779.7,4014.5,直连,/
T009,S011->O01 下降,4014.5,4080.0,直连,/
T010,工位准备与装载,1266.7,1626.7,直连,/
T010,O01->S006 爬升,1626.7,1706.2,直连,/
T010,O01->S006 巡航,1706.2,1918.3,直连,/
T010,O01->S006 下降,1918.3,1938.8,直连,/
T010,S006 物资交接,1938.8,2118.8,直连,/
T010,S006->S007 爬升,2118.8,2208.1,直连,/
T010,S006->S007 巡航,2208.1,2325.0,直连,/
T010,S006->S007 巡航,2325.0,2375.9,中继,RT01
T010,S006->S007 下降,2375.9,2386.3,直连,/
T010,S006->S007 下降,2386.3,2469.6,中继,RT01
T010,S007 物资交接,2469.6,2649.6,中继,RT01
T010,S007->O01 爬升,2649.6,2700.3,中继,RT01
T010,S007->O01 巡航,2700.3,2740.6,中继,RT01
T010,S007->O01 巡航,2740.6,3002.5,直连,/
T010,S007->O01 下降,3002.5,3151.7,直连,/
T011,工位准备与装载,1859.8,2249.8,直连,/
T011,O01->S010 爬升,2249.8,2351.7,直连,/
T011,O01->S010 巡航,2351.7,2670.3,直连,/
T011,O01->S010 下降,2670.3,2703.0,直连,/
T011,S010 物资交接,2703.0,2943.0,直连,/
T011,S010->O01 爬升,2943.0,2970.3,直连,/
T011,S010->O01 巡航,2970.3,3288.9,直连,/
T011,S010->O01 下降,3288.9,3411.2,直连,/
T012,工位准备与装载,2104.0,2614.0,直连,/
T012,O01->S002 爬升,2614.0,2686.2,直连,/
T012,O01->S002 巡航,2686.2,2951.5,直连,/
T012,O01->S002 巡航,2951.5,3131.8,中继,RT01
T012,O01->S002 巡航,3131.8,3181.9,直连,/
T012,O01->S002 下降,3181.9,3226.2,直连,/
T012,S002 物资交接,3226.2,3514.2,直连,/
T012,S002->S009 爬升,3514.2,3557.0,直连,/
T012,S002->S009 巡航,3557.0,3617.3,直连,/
T012,S002->S009 巡航,3617.3,3672.4,中继,RT01
T012,S002->S009 下降,3672.4,3720.8,中继,RT01
T012,S009 物资交接,3720.8,3972.8,中继,RT01
T012,S009->S001 爬升,3972.8,3997.8,中继,RT01
T012,S009->S001 巡航,3997.8,4119.4,中继,RT01
T012,S009->S001 巡航,4119.4,4175.1,直连,/
T012,S009->S001 下降,4175.1,4229.5,直连,/
T012,S001 物资交接,4229.5,4481.5,直连,/
T012,S001->O01 爬升,4481.5,4517.0,直连,/
T012,S001->O01 巡航,4517.0,4721.3,直连,/
T012,S001->O01 下降,4721.3,4793.9,直连,/
T013,工位准备与装载,2006.6,2366.6,直连,/
T013,O01->S013 爬升,2366.6,2455.7,直连,/
T013,O01->S013 巡航,2455.7,2859.8,直连,/
T013,O01->S013 下降,2859.8,2877.2,直连,/
T013,S013 物资交接,2877.2,3087.2,直连,/
T013,S013->O01 爬升,3087.2,3101.6,直连,/
T013,S013->O01 巡航,3101.6,3505.7,直连,/
T013,S013->O01 下降,3505.7,3612.7,直连,/
T014,工位准备与装载,2778.9,3138.9,直连,/
T014,O01->S008 爬升,3138.9,3218.6,直连,/
T014,O01->S008 巡航,3218.6,3589.1,直连,/
T014,O01->S008 巡航,3589.1,3894.4,中继,RT01
T014,O01->S008 下降,3894.4,3932.8,中继,RT01
T014,S008 物资交接,3932.8,4142.8,中继,RT01
T014,S008->O01 爬升,4142.8,4174.8,中继,RT01
T014,S008->O01 巡航,4174.8,4485.1,中继,RT01
T014,S008->O01 巡航,4485.1,4850.6,直连,/
T014,S008->O01 下降,4850.6,4946.2,直连,/
T015,工位准备与装载,2501.0,2981.0,直连,/
T015,O01->S004 爬升,2981.0,3090.0,直连,/
T015,O01->S004 巡航,3090.0,3491.1,直连,/
T015,O01->S004 巡航,3491.1,3606.4,中继,RT01
T015,O01->S004 下降,3606.4,3682.3,中继,RT01
T015,O01->S004 下降,3682.3,3692.4,直连,/
T015,S004 物资交接,3692.4,3793.6,直连,/
T015,S004 物资交接,3793.6,4016.4,中继,RT03
T015,S004->S005 爬升,4016.4,4032.4,中继,RT03
T015,S004->S005 爬升,4032.4,4069.7,中继,RT01
T015,S004->S005 巡航,4069.7,4244.1,中继,RT01
T015,S004->S005 下降,4244.1,4249.3,直连,/
T015,S004->S005 下降,4249.3,4327.4,中继,RT01
T015,S005 物资交接,4327.4,4579.4,中继,RT01
T015,S005->O01 爬升,4579.4,4631.0,中继,RT01
T015,S005->O01 巡航,4631.0,4686.5,中继,RT01
T015,S005->O01 巡航,4686.5,4984.4,直连,/
T015,S005->O01 下降,4984.4,5082.6,直连,/
T016,工位准备与装载,3151.7,3541.7,直连,/
T016,O01->S005 爬升,3541.7,3607.1,直连,/
T016,O01->S005 巡航,3607.1,3910.1,直连,/
T016,O01->S005 巡航,3910.1,3960.6,中继,RT01
T016,O01->S005 下降,3960.6,4012.2,中继,RT01
T016,S005 物资交接,4012.2,4222.2,中继,RT01
T016,S005->S008 爬升,4222.2,4279.2,中继,RT01
T016,S005->S008 巡航,4279.2,4324.9,直连,/
T016,S005->S008 巡航,4324.9,4482.4,中继,RT01
T016,S005->S008 下降,4482.4,4520.4,中继,RT01
T016,S008 物资交接,4520.4,4700.4,中继,RT01
T016,S008->O01 爬升,4700.4,4732.4,中继,RT01
T016,S008->O01 巡航,4732.4,4982.6,中继,RT01
T016,S008->O01 巡航,4982.6,5273.0,直连,/
T016,S008->O01 下降,5273.0,5368.6,直连,/
T017,工位准备与装载,4793.9,5243.9,直连,/
T017,O01->S011 爬升,5243.9,5309.4,直连,/
T017,O01->S011 巡航,5309.4,5497.2,直连,/
T017,O01->S011 下降,5497.2,5536.9,直连,/
T017,S011 物资交接,5536.9,5752.9,直连,/
T017,S011->S015 爬升,5752.9,5902.7,直连,/
T017,S011->S015 巡航,5902.7,6013.1,直连,/
T017,S011->S015 巡航,6013.1,6133.5,中继,RT01
T017,S011->S015 下降,6133.5,6189.7,中继,RT01
T017,S015 物资交接,6189.7,6405.7,中继,RT01
T017,S015->S003 爬升,6405.7,6410.7,中继,RT01
T017,S015->S003 巡航,6410.7,6585.0,中继,RT01
T017,S015->S003 下降,6585.0,6659.3,中继,RT01
T017,S003 物资交接,6659.3,6947.3,中继,RT01
T017,S003->O01 爬升,6947.3,7033.4,中继,RT01
T017,S003->O01 巡航,7033.4,7255.3,中继,RT01
T017,S003->O01 巡航,7255.3,7517.5,直连,/
T017,S003->O01 下降,7517.5,7730.4,直连,/
T018,工位准备与装载,3452.1,3842.1,直连,/
T018,O01->S015 爬升,3842.1,3989.0,直连,/
T018,O01->S015 巡航,3989.0,4254.9,直连,/
T018,O01->S015 巡航,4254.9,4390.3,中继,RT01
T018,O01->S015 下降,4390.3,4427.9,中继,RT01
T018,S015 物资交接,4427.9,4637.9,中继,RT01
T018,S015->S005 爬升,4637.9,4685.2,中继,RT01
T018,S015->S005 巡航,4685.2,4772.0,中继,RT01
T018,S015->S005 巡航,4772.0,4935.2,直连,/
T018,S015->S005 下降,4935.2,5042.5,直连,/
T018,S015->S005 下降,5042.5,5103.8,中继,RT01
T018,S005 物资交接,5103.8,5283.8,中继,RT01
T018,S005->O01 爬升,5283.8,5326.8,中继,RT01
T018,S005->O01 巡航,5326.8,5382.3,中继,RT01
T018,S005->O01 巡航,5382.3,5680.3,直连,/
T018,S005->O01 下降,5680.3,5758.8,直连,/
T019,工位准备与装载,5368.7,5728.7,直连,/
T019,O01->S008 爬升,5728.7,5808.4,直连,/
T019,O01->S008 巡航,5808.4,6103.8,直连,/
T019,O01->S008 巡航,6103.8,6349.1,中继,RT01
T019,O01->S008 下降,6349.1,6387.4,中继,RT01
T019,S008 物资交接,6387.4,6597.4,中继,RT01
T019,S008->O01 爬升,6597.4,6629.4,中继,RT01
T019,S008->O01 巡航,6629.4,6879.7,中继,RT01
T019,S008->O01 巡航,6879.7,7170.1,直连,/
T019,S008->O01 下降,7170.1,7265.7,直连,/
T020,工位准备与装载,3382.3,3742.3,直连,/
T020,O01->S004 爬升,3742.3,3833.2,直连,/
T020,O01->S004 巡航,3833.2,4333.5,直连,/
T020,O01->S004 巡航,4333.5,4478.6,中继,RT01
T020,O01->S004 下降,4478.6,4536.8,中继,RT01
T020,O01->S004 下降,4536.8,4547.4,中继,RT03
T020,S004 物资交接,4547.4,4757.4,中继,RT03
T020,S004->O01 爬升,4757.4,4767.8,中继,RT03
T020,S004->O01 爬升,4767.8,4814.7,中继,RT01
T020,S004->O01 巡航,4814.7,4964.9,中继,RT01
T020,S004->O01 巡航,4964.9,5460.2,直连,/
T020,S004->O01 下降,5460.2,5569.2,直连,/
T021,工位准备与装载,5082.6,5532.6,直连,/
T021,O01->S003 爬升,5532.6,5703.0,直连,/
T021,O01->S003 巡航,5703.0,5970.2,直连,/
T021,O01->S003 巡航,5970.2,6187.1,中继,RT01
T021,O01->S003 下降,6187.1,6294.6,中继,RT01
T021,S003 物资交接,6294.6,6654.6,中继,RT01
T021,S003->O01 爬升,6654.6,6740.7,中继,RT01
T021,S003->O01 巡航,6740.7,6962.6,中继,RT01
T021,S003->O01 巡航,6962.6,7224.8,直连,/
T021,S003->O01 下降,7224.8,7437.8,直连,/
T022,工位准备与装载,3612.7,3972.7,直连,/
T022,O01->S001 爬升,3972.7,4021.1,直连,/
T022,O01->S001 巡航,4021.1,4276.4,直连,/
T022,O01->S001 下降,4276.4,4311.9,直连,/
T022,S001 物资交接,4311.9,4491.9,直连,/
T022,S001->S005 爬升,4491.9,4535.7,直连,/
T022,S001->S005 巡航,4535.7,4647.8,直连,/
T022,S001->S005 巡航,4647.8,4780.3,中继,RT01
T022,S001->S005 下降,4780.3,4828.4,中继,RT01
T022,S005 物资交接,4828.4,5008.4,中继,RT01
T022,S005->O01 爬升,5008.4,5051.4,中继,RT01
T022,S005->O01 巡航,5051.4,5121.7,中继,RT01
T022,S005->O01 巡航,5121.7,5493.2,直连,/
T022,S005->O01 下降,5493.2,5571.7,直连,/
T023,工位准备与装载,4080.0,4440.0,直连,/
T023,O01->S013 爬升,4440.0,4529.1,直连,/
T023,O01->S013 巡航,4529.1,4862.5,直连,/
T023,O01->S013 巡航,4862.5,4933.2,中继,RT03
T023,O01->S013 下降,4933.2,4950.6,中继,RT03
T023,S013 物资交接,4950.6,5130.6,中继,RT03
T023,S013->S011 爬升,5130.6,5139.4,中继,RT03
T023,S013->S011 巡航,5139.4,5209.5,中继,RT03
T023,S013->S011 巡航,5209.5,5229.5,直连,/
T023,S013->S011 巡航,5229.5,5234.5,中继,RT01
T023,S013->S011 巡航,5234.5,5574.8,直连,/
T023,S013->S011 下降,5574.8,5641.3,直连,/
T023,S011 物资交接,5641.3,5821.3,直连,/
T023,S011->O01 爬升,5821.3,5847.8,直连,/
T023,S011->O01 巡航,5847.8,6082.5,直连,/
T023,S011->O01 下降,6082.5,6148.0,直连,/
T024,工位准备与装载,5758.8,6118.8,直连,/
T024,O01->S006 爬升,6118.8,6198.3,直连,/
T024,O01->S006 巡航,6198.3,6410.4,直连,/
T024,O01->S006 下降,6410.4,6430.9,直连,/
T024,S006 物资交接,6430.9,6610.9,直连,/
T024,S006->S007 爬升,6610.9,6700.2,直连,/
T024,S006->S007 巡航,6700.2,6817.1,直连,/
T024,S006->S007 巡航,6817.1,6868.0,中继,RT01
T024,S006->S007 下降,6868.0,6878.4,直连,/
T024,S006->S007 下降,6878.4,6961.7,中继,RT01
T024,S007 物资交接,6961.7,7141.7,中继,RT01
T024,S007->O01 爬升,7141.7,7192.4,中继,RT01
T024,S007->O01 巡航,7192.4,7232.7,中继,RT01
T024,S007->O01 巡航,7232.7,7494.6,直连,/
T024,S007->O01 下降,7494.6,7643.8,直连,/
