服务区编号,服务区名称,往返距离(km),单程水平距离(km),巡航海拔(m),A型最大安全载荷(kg),B型最大安全载荷(kg),C型最大安全载荷(kg),安全余量eta
S008,古麻、大站,16.22,8.11,366.9,24.25,25.34,49.23,0.25
S009,那龙,11.45,5.72,292.7,25.0,30.0,80.0,0.25
S010,镇龙乡,9.56,4.78,433.5,25.0,30.0,80.0,0.25
S011,那从,5.63,2.82,291.4,25.0,30.0,80.0,0.25
S012,镇龙乡,14.8,7.4,412.8,25.0,29.39,60.97,0.25
S013,镇龙乡,9.7,4.85,395.1,25.0,30.0,80.0,0.25
S014,镇龙乡,10.82,5.41,585.9,25.0,30.0,80.0,0.25
S015,六造、那托、那旭,12.04,6.02,568.5,25.0,30.0,78.38,0.25
S001,平旺、那龙、镇龙乡,6.13,3.06,272.9,25.0,30.0,80.0,0.3
S002,上良,14.87,7.44,308.1,25.0,26.59,52.5,0.3
S003,六造、那旭、都长,14.52,7.26,553.7,24.97,25.54,52.0,0.3
S004,大站,15.49,7.75,400.3,19.54,23.17,43.99,0.3
S005,上良、古律、那麓,10.6,5.3,324.0,25.0,30.0,80.0,0.3
S006,六昌、木路,6.36,3.18,366.1,25.0,30.0,80.0,0.3
S007,佛子、那桑、银坑,9.07,4.53,500.6,25.0,30.0,80.0,0.3
S008,古麻、大站,16.22,8.11,366.9,13.73,20.82,36.16,0.3
S009,那龙,11.45,5.72,292.7,25.0,30.0,78.95,0.3
S010,镇龙乡,9.56,4.78,433.5,25.0,30.0,80.0,0.3
S011,那从,5.63,2.82,291.4,25.0,30.0,80.0,0.3
S012,镇龙乡,14.8,7.4,412.8,25.0,25.93,51.61,0.3
S013,镇龙乡,9.7,4.85,395.1,25.0,30.0,80.0,0.3
S014,镇龙乡,10.82,5.41,585.9,25.0,30.0,80.0,0.3
S015,六造、那托、那旭,12.04,6.02,568.5,25.0,30.0,72.92,0.3
S001,平旺、那龙、镇龙乡,6.13,3.06,272.9,25.0,30.0,80.0,0.35
S002,上良,14.87,7.44,308.1,16.79,22.09,39.53,0.35
S003,六造、那旭、都长,14.52,7.26,553.7,13.94,20.6,38.92,0.35
S004,大站,15.49,7.75,400.3,3.56,17.45,27.36,0.35
S005,上良、古律、那麓,10.6,5.3,324.0,25.0,30.0,78.52,0.35
S006,六昌、木路,6.36,3.18,366.1,25.0,30.0,80.0,0.35
S007,佛子、那桑、银坑,9.07,4.53,500.6,25.0,30.0,80.0,0.35
S008,古麻、大站,16.22,8.11,366.9,0.0,14.19,14.47,0.35
S009,那龙,11.45,5.72,292.7,25.0,30.0,73.25,0.35
S010,镇龙乡,9.56,4.78,433.5,25.0,30.0,80.0,0.35
S011,那从,5.63,2.82,291.4,25.0,30.0,80.0,0.35
S012,镇龙乡,14.8,7.4,412.8,14.89,21.19,38.34,0.35
S013,镇龙乡,9.7,4.85,395.1,25.0,30.0,80.0,0.35
S014,镇龙乡,10.82,5.41,585.9,25.0,30.0,74.45,0.35
S015,六造、那托、那旭,12.04,6.02,568.5,25.0,30.0,65.83,0.35
